workload	timestamp	pit
13000	169200	8429.526
11000	169250	4770
15000	169300	4020.6667
15000	169350	4304.222
10000	169400	21761.842
15000	169450	11537.583
15000	169500	2458.875
13000	169550	24935.1
15000	169600	6178.6
16000	169650	9471.23
14000	169700	12346
16000	169750	3075.7273
16000	169800	11500.4
14000	169850	5079.4
13000	169900	11556.308
13000	169950	14436.091
15000	170000	8407.077
19000	170050	1951.1666
16000	170100	5416
18000	170150	3610.3333
14000	170200	7292.5
18000	170250	7717.8335
19000	170300	12699.4
15000	170350	7483.0713
19000	170400	19605
14000	170450	16180.357
15000	170500	4997.5
18000	170550	14477.143
13000	170600	24219
17000	170650	4529.5
16000	170700	5829.2144
13000	170750	7665.273
20000	170800	18430.428
18000	170850	18526.285
14000	170900	6468.364
15000	170950	2177.4546
10000	171000	5169.4443
16000	171050	4865.5835
18000	171100	11166.167
16000	171150	10345.5
11000	171200	9763.615
19000	171250	7392.75
13000	171300	3987.6428
19000	171350	4716.6665
14000	171400	11517.454
13000	171450	12976.889
16000	171500	2601.6924
14000	171550	8657.3
18000	171600	3752.5
15000	171650	8544.556
12000	171700	6264.636
12000	171750	7298.778
16000	171800	11212.4
18000	171850	29154
17000	171900	2651.6667
13000	171950	7391.647
14000	172000	9632.777
20000	172050	13701.357
16000	172100	2808.7273
10000	172150	5025
19000	172200	27516
12000	172250	5733.5
16000	172300	2309.9443
10000	172350	4053.25
13000	172400	4754.6665
17000	172450	19039.066
16000	172500	9057.9375
17000	172550	32159.727
16000	172600	3554
15000	172650	9408.223
18000	172700	18523.111
18000	172750	11185.667
20000	172800	1792.1818
16000	172850	2922.8572
12000	172900	9266.25
15000	172950	3572.2856
19000	173000	30516.666
14000	173050	12873.667
15000	173100	25537.4
19000	173150	8113
18000	173200	6647.7896
16000	173250	4079.8572
11000	173300	3649.8572
19000	173350	3284.4
10000	173400	5082.75
14000	173450	3469.9285
19000	173500	32074.5
11000	173550	11037.333
11000	173600	21781.75
13000	173650	8585.333
14000	173700	7748.5
12000	173750	2727.0908
11000	173800	4622.6665
15000	173850	22186
11000	173900	17433
14000	173950	14226
14000	174000	2013.8182
11000	174050	2448.5
19000	174100	1689.625
11000	174150	9908.4
12000	174200	4185.364
11000	174250	3396
18000	174300	5909.5
20000	174350	10898.357
15000	174400	11086.223
16000	174450	14828.8
16000	174500	5067.875
11000	174550	3720.7
13000	174600	14918.375
15000	174650	25098
12000	174700	14319
13000	174750	3111.889
20000	174800	19432.428
15000	174850	15893.777
16000	174900	18506.295
15000	174950	10385.571
10000	175000	626
19000	175050	13985
15000	175100	2707
17000	175150	5485.4614
15000	175200	21937
19000	175250	14161.167
14000	175300	8487.143
16000	175350	4764.75
10000	175400	12017.25
13000	175450	13378
